transactionid,customerid,transactionamount ,paymentmethod ,quantity,transaction_date,last_update
1,934,202,Debit card,23,1/24/2020,1/24/2020
2,108,425,Paypal,16,4/26/2022,4/26/2022
3,401,314,Credit card,11,8/27/2020,8/27/2020
4,514,316,Credit card,38,1/19/2021,1/19/2021
5,338,461,Credit card,25,12/16/2019,12/16/2019
6,16,472,Paypal,47,1/25/2020,1/25/2020
7,385,441,Paypal,39,4/29/2020,4/29/2020
8,402,284,Paypal,25,3/9/2021,3/9/2021
9,714,212,Paypal,17,11/6/2019,11/6/2019
10,495,345,Paypal,34,7/14/2020,7/14/2020
11,973,420,Paypal,21,12/30/2021,12/30/2021
12,952,355,Paypal,21,2/10/2021,2/10/2021
13,937,234,Paypal,14,8/21/2019,8/21/2019
14,620,450,Paypal,49,9/27/2019,9/27/2019
15,316,272,Paypal,8,9/24/2019,9/24/2019
16,481,323,Paypal,18,12/30/2019,12/30/2019
17,308,275,Debit card,24,1/18/2020,1/18/2020
18,647,360,Debit card,33,7/21/2021,7/21/2021
19,993,335,Debit card,5,5/23/2021,5/23/2021
20,968,256,Debit card,14,12/12/2021,12/12/2021
21,39,409,Debit card,3,7/29/2019,7/29/2019
22,225,465,Debit card,20,5/25/2021,5/25/2021
23,427,345,Debit card,47,6/14/2020,6/14/2020
24,705,266,Debit card,27,6/17/2020,6/17/2020
25,990,366,Debit card,1,11/14/2021,11/14/2021
26,142,308,Debit card,42,6/4/2021,6/4/2021
27,189,353,Debit card,47,8/22/2021,8/22/2021
28,414,483,Debit card,35,9/30/2020,9/30/2020
29,225,244,Debit card,13,3/5/2020,3/5/2020
30,658,456,Credit card,34,9/28/2020,9/28/2020
31,596,267,Credit card,9,7/1/2020,7/1/2020
32,23,395,Credit card,19,10/18/2020,10/18/2020
33,740,330,Credit card,49,10/24/2021,10/24/2021
34,790,480,Paypal,9,7/2/2019,7/2/2019
35,104,484,Paypal,4,8/24/2020,8/24/2020
36,672,336,Paypal,19,10/29/2021,10/29/2021
37,163,415,Paypal,8,9/16/2019,9/16/2019
38,743,451,Paypal,50,5/8/2021,5/8/2021
39,786,428,Paypal,28,10/12/2021,10/12/2021
40,195,229,Credit card,34,6/15/2020,6/15/2020
41,238,288,Credit card,11,12/4/2021,12/4/2021
42,36,337,Credit card,45,10/19/2019,10/19/2019
43,816,395,Credit card,44,3/14/2022,3/14/2022
44,165,458,Credit card,45,10/27/2021,10/27/2021
45,702,360,Credit card,37,11/2/2020,11/2/2020
46,74,334,Credit card,44,11/15/2020,11/15/2020
47,126,326,Credit card,21,2/18/2021,2/18/2021
48,544,216,Paypal,35,4/8/2020,4/8/2020
49,553,452,Paypal,14,10/24/2021,10/24/2021
50,727,496,Paypal,50,9/29/2020,9/29/2020
51,734,325,Paypal,19,2/21/2022,2/21/2022
52,102,242,Paypal,12,12/27/2021,12/27/2021
53,223,305,Paypal,2,7/20/2019,7/20/2019
54,553,246,Credit card,50,3/20/2021,3/20/2021
55,948,224,Credit card,46,6/14/2021,6/14/2021
56,955,313,Credit card,21,9/25/2021,9/25/2021
57,938,259,Credit card,13,2/19/2020,2/19/2020
58,377,219,Credit card,39,11/25/2021,11/25/2021
59,430,232,Credit card,48,8/19/2019,8/19/2019
60,963,261,Credit card,15,11/10/2019,11/10/2019
61,191,317,Debit card,13,12/23/2021,12/23/2021
62,977,334,Debit card,39,9/17/2019,9/17/2019
63,839,318,Debit card,48,10/14/2019,10/14/2019
64,40,382,Debit card,49,12/22/2019,12/22/2019
65,444,232,Debit card,13,3/16/2020,3/16/2020
66,757,275,Debit card,17,6/28/2020,6/28/2020
67,239,277,Debit card,32,6/11/2021,6/11/2021
68,263,292,Debit card,42,7/28/2021,7/28/2021
69,398,263,Paypal,29,3/22/2021,3/22/2021
70,604,250,Paypal,32,12/7/2020,12/7/2020
71,585,227,Paypal,32,2/11/2022,2/11/2022
72,30,488,Paypal,12,7/9/2020,7/9/2020
73,568,209,Paypal,16,2/9/2020,2/9/2020
74,299,408,Paypal,31,2/27/2021,2/27/2021
75,734,405,Paypal,8,7/31/2021,7/31/2021
76,175,461,Paypal,35,3/13/2021,3/13/2021
77,295,219,Paypal,48,9/19/2021,9/19/2021
78,936,436,Paypal,32,2/4/2021,2/4/2021
79,293,206,Paypal,38,3/30/2020,3/30/2020
80,777,374,Paypal,7,10/26/2019,10/26/2019
81,173,415,Paypal,40,2/23/2020,2/23/2020
82,359,422,Debit card,9,3/11/2021,3/11/2021
83,776,287,Debit card,34,6/16/2019,6/16/2019
84,88,432,Debit card,2,8/10/2020,8/10/2020
85,159,405,Debit card,46,2/27/2021,2/27/2021
86,170,314,Debit card,34,9/12/2019,9/12/2019
87,170,277,Debit card,6,9/27/2021,9/27/2021
88,667,408,Credit card,48,12/20/2020,12/20/2020
89,595,475,Credit card,31,1/10/2020,1/10/2020
90,882,334,Credit card,9,6/12/2019,6/12/2019
91,208,459,Credit card,35,8/13/2021,8/13/2021
92,235,308,Credit card,11,11/7/2021,11/7/2021
93,112,283,Credit card,25,12/20/2021,12/20/2021
94,584,383,Debit card,35,8/7/2019,8/7/2019
95,592,212,Debit card,21,6/30/2019,6/30/2019
96,544,423,Paypal,11,8/8/2021,8/8/2021
97,552,461,Paypal,6,3/4/2022,3/4/2022
98,905,278,Paypal,16,12/2/2021,12/2/2021
99,639,383,Paypal,21,9/17/2019,9/17/2019
100,911,331,Paypal,29,11/26/2020,11/26/2020
101,806,290,Debit card,39,6/17/2021,6/17/2021
102,868,263,Debit card,18,12/24/2021,12/24/2021
103,767,243,Debit card,26,12/21/2019,12/21/2019
104,494,448,Debit card,42,8/24/2020,8/24/2020
105,103,314,Paypal,35,7/16/2021,7/16/2021
106,68,218,Paypal,2,11/25/2020,11/25/2020
107,637,361,Paypal,40,8/14/2019,8/14/2019
108,203,310,Paypal,15,2/16/2020,2/16/2020
109,894,275,Paypal,40,3/1/2020,3/1/2020
110,628,213,Paypal,5,5/29/2021,5/29/2021
111,41,371,Paypal,38,5/5/2020,5/5/2020
112,189,468,Paypal,33,5/1/2020,5/1/2020
113,691,475,Credit card,49,1/6/2021,1/6/2021
114,60,210,Credit card,16,8/8/2020,8/8/2020
115,884,242,Credit card,47,4/25/2020,4/25/2020
116,743,398,Credit card,23,4/24/2021,4/24/2021
117,304,275,Credit card,15,4/22/2021,4/22/2021
118,231,320,Debit card,6,11/12/2019,11/12/2019
119,152,272,Debit card,36,5/6/2020,5/6/2020
120,708,275,Debit card,40,11/30/2020,11/30/2020
121,394,432,Debit card,25,7/26/2021,7/26/2021
122,399,361,Debit card,1,10/28/2020,10/28/2020
123,12,251,Debit card,13,12/7/2019,12/7/2019
124,190,403,Debit card,38,9/15/2021,9/15/2021
125,915,497,Debit card,6,1/19/2021,1/19/2021
126,778,267,Debit card,5,3/19/2020,3/19/2020
127,505,246,Paypal,1,1/11/2020,1/11/2020
128,791,448,Paypal,10,8/19/2019,8/19/2019
129,337,251,Paypal,38,8/2/2019,8/2/2019
130,79,202,Paypal,10,9/24/2019,9/24/2019
131,462,267,Credit card,11,12/16/2019,12/16/2019
132,303,258,Credit card,40,7/31/2021,7/31/2021
133,614,450,Credit card,36,9/2/2020,9/2/2020
134,958,409,Credit card,26,8/21/2019,8/21/2019
135,61,375,Credit card,49,6/23/2020,6/23/2020
136,797,329,Credit card,19,12/11/2020,12/11/2020
137,13,279,Credit card,31,2/17/2022,2/17/2022
138,559,318,Credit card,29,4/6/2022,4/6/2022
139,854,491,Debit card,4,1/18/2020,1/18/2020
140,320,479,Debit card,10,6/26/2021,6/26/2021
141,632,337,Debit card,2,11/30/2021,11/30/2021
142,73,446,Debit card,47,4/21/2021,4/21/2021
143,707,342,Debit card,18,1/29/2020,1/29/2020
144,587,202,Debit card,46,7/7/2021,7/7/2021
145,878,232,Debit card,25,3/31/2020,3/31/2020
146,231,441,Debit card,45,7/15/2021,7/15/2021
147,209,363,Debit card,6,1/6/2020,1/6/2020
148,22,406,Debit card,4,10/31/2020,10/31/2020
149,772,375,Credit card,21,2/15/2020,2/15/2020
150,354,333,Credit card,7,4/17/2020,4/17/2020
151,655,416,Credit card,42,12/11/2021,12/11/2021
152,722,382,Credit card,36,5/23/2020,5/23/2020
153,720,417,Credit card,14,11/24/2021,11/24/2021
154,550,475,Credit card,25,4/1/2021,4/1/2021
155,535,279,Paypal,46,10/16/2019,10/16/2019
156,752,482,Paypal,11,9/7/2019,9/7/2019
157,694,302,Paypal,21,9/30/2019,9/30/2019
158,560,377,Paypal,1,3/8/2021,3/8/2021
159,696,238,Paypal,46,1/25/2020,1/25/2020
160,868,392,Debit card,2,8/4/2019,8/4/2019
161,108,457,Debit card,37,1/9/2020,1/9/2020
162,351,364,Debit card,8,8/28/2021,8/28/2021
163,460,470,Debit card,43,11/22/2021,11/22/2021
164,531,290,Debit card,44,6/25/2019,6/25/2019
165,828,314,Debit card,10,1/13/2021,1/13/2021
166,972,399,Debit card,30,4/13/2022,4/13/2022
167,618,231,Debit card,10,4/12/2020,4/12/2020
168,739,449,Credit card,5,5/19/2021,5/19/2021
169,284,488,Credit card,37,9/28/2019,9/28/2019
170,195,338,Credit card,43,1/22/2020,1/22/2020
171,118,216,Credit card,39,3/22/2020,3/22/2020
172,612,260,Credit card,19,11/28/2021,11/28/2021
173,668,361,Credit card,43,8/13/2020,8/13/2020
174,825,466,Credit card,42,10/3/2020,10/3/2020
175,419,203,Debit card,22,5/1/2020,5/1/2020
176,881,499,Debit card,2,3/25/2022,3/25/2022
177,240,314,Debit card,12,12/22/2020,12/22/2020
178,765,274,Debit card,7,8/1/2020,8/1/2020
179,864,474,Debit card,2,7/13/2021,7/13/2021
180,706,442,Debit card,28,7/23/2020,7/23/2020
181,582,282,Debit card,28,4/10/2022,4/10/2022
182,570,402,Debit card,17,8/15/2021,8/15/2021
183,34,403,Debit card,19,8/31/2019,8/31/2019
184,176,234,Debit card,11,9/17/2020,9/17/2020
185,673,484,Debit card,31,1/11/2021,1/11/2021
186,211,410,Credit card,48,12/11/2019,12/11/2019
187,419,293,Credit card,16,1/11/2020,1/11/2020
188,101,396,Credit card,25,2/24/2020,2/24/2020
189,297,401,Credit card,37,11/7/2021,11/7/2021
190,329,334,Credit card,33,9/27/2020,9/27/2020
191,495,363,Credit card,46,6/2/2020,6/2/2020
192,626,342,Credit card,49,12/14/2021,12/14/2021
193,829,437,Credit card,11,3/11/2022,3/11/2022
194,686,493,Credit card,29,8/11/2019,8/11/2019
195,449,456,Credit card,44,5/20/2021,5/20/2021
196,684,462,Credit card,3,6/4/2020,6/4/2020
197,489,210,Credit card,14,6/12/2020,6/12/2020
198,565,440,Credit card,4,7/2/2019,7/2/2019
199,466,214,Credit card,35,9/29/2021,9/29/2021
200,266,450,Credit card,7,4/5/2021,4/5/2021
201,261,240,Credit card,13,1/3/2021,1/3/2021
202,284,265,Paypal,16,1/2/2020,1/2/2020
203,654,337,Paypal,17,1/20/2021,1/20/2021
204,248,281,Paypal,35,1/17/2022,1/17/2022
205,648,434,Paypal,36,10/24/2020,10/24/2020
206,695,359,Paypal,9,8/20/2020,8/20/2020
207,856,236,Paypal,50,11/16/2021,11/16/2021
208,551,258,Paypal,46,10/2/2021,10/2/2021
209,449,307,Paypal,31,8/3/2020,8/3/2020
210,808,201,Paypal,25,12/12/2021,12/12/2021
211,555,421,Paypal,48,7/11/2019,7/11/2019
212,326,315,Paypal,49,3/31/2022,3/31/2022
213,483,444,Paypal,18,5/12/2020,5/12/2020
214,431,324,Paypal,27,12/19/2019,12/19/2019
215,178,292,Paypal,20,6/27/2019,6/27/2019
216,671,370,Paypal,12,9/2/2019,9/2/2019
217,179,246,Paypal,25,4/23/2022,4/23/2022
218,520,471,Paypal,7,5/26/2021,5/26/2021
219,437,392,Paypal,40,12/14/2019,12/14/2019
220,733,216,Paypal,3,5/17/2021,5/17/2021
221,444,309,Paypal,31,11/6/2019,11/6/2019
222,653,475,Paypal,23,6/28/2021,6/28/2021
223,533,337,Paypal,29,2/2/2020,2/2/2020
224,807,495,Paypal,8,3/5/2020,3/5/2020
225,382,370,Paypal,14,10/31/2019,10/31/2019
226,522,306,Paypal,7,2/9/2020,2/9/2020
227,593,364,Paypal,43,3/22/2022,3/22/2022
228,530,456,Paypal,25,11/27/2020,11/27/2020
229,751,253,Paypal,26,7/15/2020,7/15/2020
230,334,372,Paypal,30,2/4/2021,2/4/2021
231,307,487,Paypal,48,4/24/2020,4/24/2020
232,778,238,Paypal,44,10/15/2020,10/15/2020
233,102,282,Paypal,38,1/18/2020,1/18/2020
234,260,357,Paypal,26,11/2/2019,11/2/2019
235,159,463,Paypal,47,7/25/2021,7/25/2021
236,918,265,Paypal,7,9/11/2021,9/11/2021
237,986,213,Paypal,3,1/7/2020,1/7/2020
238,966,309,Paypal,48,5/29/2020,5/29/2020
239,845,397,Paypal,28,8/3/2020,8/3/2020
240,444,499,Paypal,31,3/19/2021,3/19/2021
241,931,263,Paypal,3,7/5/2019,7/5/2019
242,93,281,Paypal,21,5/19/2020,5/19/2020
243,449,233,Paypal,28,8/26/2020,8/26/2020
244,37,364,Paypal,46,3/5/2020,3/5/2020
245,485,375,Paypal,29,4/20/2020,4/20/2020
246,123,253,Paypal,3,9/18/2021,9/18/2021
247,913,423,Paypal,44,9/1/2020,9/1/2020
248,543,368,Paypal,34,11/4/2020,11/4/2020
249,599,493,Credit card,27,4/7/2022,4/7/2022
250,158,329,Credit card,19,3/10/2021,3/10/2021
251,776,486,Credit card,14,1/16/2022,1/16/2022
252,166,399,Credit card,32,11/26/2020,11/26/2020
253,256,388,Credit card,44,2/5/2020,2/5/2020
254,243,318,Credit card,47,6/24/2021,6/24/2021
255,945,317,Credit card,9,1/30/2021,1/30/2021
256,626,230,Credit card,31,11/9/2019,11/9/2019
257,865,406,Credit card,7,8/21/2019,8/21/2019
258,871,256,Credit card,19,9/29/2019,9/29/2019
259,400,334,Debit card,26,4/17/2021,4/17/2021
260,826,276,Debit card,9,3/26/2022,3/26/2022
261,657,305,Debit card,5,8/20/2019,8/20/2019
262,627,349,Debit card,5,10/20/2019,10/20/2019
263,635,244,Debit card,35,9/14/2019,9/14/2019
264,160,312,Debit card,8,10/30/2021,10/30/2021
265,649,376,Debit card,45,8/6/2021,8/6/2021
266,925,466,Debit card,22,2/16/2022,2/16/2022
267,754,310,Debit card,48,6/11/2019,6/11/2019
268,912,490,Paypal,48,11/2/2020,11/2/2020
269,699,316,Paypal,28,3/8/2020,3/8/2020
270,104,332,Paypal,7,2/18/2020,2/18/2020
271,579,498,Paypal,12,8/28/2021,8/28/2021
272,966,203,Paypal,24,10/12/2021,10/12/2021
273,483,438,Paypal,19,4/4/2021,4/4/2021
274,361,496,Debit card,17,8/7/2019,8/7/2019
275,848,293,Debit card,22,3/6/2020,3/6/2020
276,253,472,Debit card,30,8/29/2021,8/29/2021
277,237,323,Debit card,10,10/4/2019,10/4/2019
278,451,217,Debit card,46,3/25/2020,3/25/2020
279,178,371,Debit card,30,10/25/2021,10/25/2021
280,728,270,Debit card,38,4/22/2020,4/22/2020
281,106,366,Debit card,49,4/2/2022,4/2/2022
282,27,412,Debit card,11,9/1/2019,9/1/2019
283,459,363,Debit card,5,12/9/2019,12/9/2019
284,287,368,Debit card,36,12/14/2020,12/14/2020
285,715,444,Paypal,22,4/1/2021,4/1/2021
286,107,397,Paypal,49,6/6/2019,6/6/2019
287,186,227,Paypal,45,8/27/2019,8/27/2019
288,658,243,Paypal,50,6/28/2021,6/28/2021
289,406,360,Paypal,11,3/19/2021,3/19/2021
290,13,399,Paypal,32,9/21/2021,9/21/2021
291,967,370,Paypal,1,10/22/2021,10/22/2021
292,159,355,Paypal,7,5/12/2021,5/12/2021
293,621,352,Credit card,48,3/15/2022,3/15/2022
294,495,250,Credit card,49,6/19/2021,6/19/2021
295,504,360,Credit card,27,7/18/2021,7/18/2021
296,478,499,Credit card,4,8/8/2021,8/8/2021
297,666,430,Credit card,3,10/8/2020,10/8/2020
298,472,412,Credit card,48,3/4/2022,3/4/2022
299,142,364,Credit card,15,6/1/2021,6/1/2021
300,351,259,Credit card,25,1/9/2021,1/9/2021
301,364,389,Debit card,49,1/20/2020,1/20/2020
302,475,483,Debit card,44,5/24/2021,5/24/2021
303,115,202,Debit card,29,11/15/2021,11/15/2021
304,276,477,Debit card,28,12/14/2019,12/14/2019
305,249,212,Debit card,47,10/6/2019,10/6/2019
306,849,236,Debit card,5,9/2/2020,9/2/2020
307,718,349,Debit card,18,10/26/2021,10/26/2021
308,417,338,Paypal,14,8/14/2019,8/14/2019
